call_id,leader,leader_url,members
1762673693.8456409,1751507271.700940,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1751507271.700940.wav,"['1754295446.7990130', '1743054109.74144048', '1749952089.661889', '1752979580.11825060', '1746414097.14908386', '1747732561.23144421', '1753585430.3061874', '1751507271.700940', '1748506825.28143719', '1749090150.31122910', '1737943518.48141451', '1762673693.8456409', '1743673321.410351', '1755674281.19210504', '1750405068.4097125', '1753674515.3688241', '1745376801.9449675', '1743661909.258040', '1749026239.30868256', '1754184449.7031196']"
1762670251.8385950,1753340941.1406150,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1753340941.1406150.wav,"['1753340941.1406150', '1762670251.8385950', '1752483863.8090980', '1753247133.597497', '1742036389.68359588', '1754481270.9503148', '1750336896.3670545', '1760678426.2690097', '1756024158.21958307', '1751971916.4262775', '1750236934.2875923', '1761198019.4064025', '1753790159.4759728', '1758022818.3730441', '1758448226.7349905', '1759126963.13547275', '1755074251.14363353', '1761547494.7422730', '1758851713.10806120', '1757418589.1551192']"
1762654902.8091244,1738805424.50454886,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1738805424.50454886.wav,"['1761207638.4295668', '1736393941.40118236', '1740212198.58170596', '1762654902.8091244', '1736750236.42239383', '1735893185.37231223', '1760099537.22173421', '1739597731.54980668', '1740209373.58141967', '1760758842.3470410', '1736151214.38598530', '1760322130.1850443', '1761120270.3320943', '1738805424.50454886', '1758598321.8532148', '1739086561.52325134', '1738742832.50276879', '1737458211.46130745', '1737430514.45836533', '1737789998.47633028']"
1762655186.8099056,1762655186.8099056,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1762655186.8099056.wav,"['1762655186.8099056', '1761547232.7416753', '1762245162.3738695', '1761358444.5617914']"
1762602992.7911793,1759736562.18484354,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1759736562.18484354.wav,"['1750496124.4757233', '1761043592.2579041', '1759736562.18484354', '1747450963.21258879', '1750671687.5932973', '1756361318.373293', '1751088628.8703379', '1744528452.4721094', '1751524867.970026', '1760687697.2907400', '1748162584.25901273', '1752490101.8190368', '1759145899.13898111', '1756098957.22396298', '1748084963.25533260', '1751099287.8859919', '1757234041.6657483', '1744341505.3664861', '1752545604.8372119', '1752655310.9464655']"
1762601596.7892280,1756372094.579808,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1756372094.579808.wav,"['1758350957.6532692', '1757385478.985072', '1756114360.22683958', '1758612509.8771178', '1758091302.4200015', '1756454918.1207262', '1756087657.22204779', '1756890597.4094781', '1758593286.8408759', '1758963879.12072731', '1758425128.7025397', '1759128429.13579559', '1756372094.579808', '1756272941.23775944', '1758431352.7095543', '1756282809.23950477', '1758276798.6061136', '1756365229.441748', '1757488645.2040854', '1761111246.3097203']"
1762598764.7845199,1753758847.4344997,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1753758847.4344997.wav,"['1742551140.71518653', '1737797386.47699556', '1752831378.10973831', '1760773373.3719231', '1753758847.4344997', '1748591661.28619958', '1760007842.21123132', '1748163066.25906015', '1745894816.12457422', '1754098321.6503900', '1741757546.66765566', '1756719538.2835748', '1741669773.66258702', '1760161432.426580', '1741506768.65466340', '1754707112.11332078', '1759478319.16467963', '1753520156.2788923', '1753327338.1215598', '1753163230.13275741']"
1762598514.7840348,1745543270.10383608,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1745543270.10383608.wav,"['1745543270.10383608', '1739697620.55483841', '1761291474.5163098', '1747110841.19063580', '1757933372.2750816', '1740639377.60475975', '1741249674.64234071', '1741743328.66589642', '1745560410.10605139', '1741858478.67431532', '1761795632.10081150', '1761619379.8069578', '1736847468.42834151', '1737883192.48038592', '1758518696.7809782', '1741672460.66285400', '1741173372.63833669', '1739696539.55472880', '1739416955.54060037', '1740452531.59275347']"
1762597011.7816970,1762481475.6044730,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1762481475.6044730.wav,"['1762481475.6044730', '1762420497.5683747', '1761910715.721672', '1762597011.7816970']"
1762596193.7803641,1756460757.1304294,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1756460757.1304294.wav,"['1756460757.1304294', '1757300577.268170', '1757298382.213980', '1757036320.4976012', '1761204914.4225875', '1762596193.7803641']"
